lastName|firstName|bday|studentID|grade
Reynolds|George|1969/12/31|1604051754799|6.9621271001
Strickland|Helen|1969/12/31|1677102787599|7.2995208704
Buck|Mufutau|1969/12/31|1635071265699|7.1317271349
Hart|Samantha|1969/12/31|1627030634999|6.7844900033
Mueller|Marsden|1969/12/31|1617092331999|7.263124057
Rodgers|Quynn|1969/12/31|1621062816299|7.5420961177
William|Nichole|1969/12/31|1631052615999|7.1677277756
Moody|Brian|1969/12/31|1652061490899|6.8541392814
Santiago|Galvin|1969/12/31|1666050646499|6.9436928817
Fry|Guy|1969/12/31|1681062420899|7.3839343341
Cook|Barrett|1969/12/31|1684110679299|7.2298000501
Mcconnell|Lynn|1969/12/31|1668082431299|7.4338183512
Stout|Trevor|1969/12/31|1603071958299|7.2807899037
Martinez|Roth|1969/12/31|1649052059299|6.9989093925
Emerson|Ayanna|1969/12/31|1687081277699|7.2918397973
Barron|Quintessa|1969/12/31|1669081740499|7.0389442703
Sargent|Ferdinand|1969/12/31|1678123044599|7.4275721473
Bright|Hedda|1969/12/31|1625102736799|7.050985063
Trujillo|Jasper|1969/12/31|1688063083299|7.0522845552
Mason|Gail|1969/12/31|1691110144799|7.1751729037
Carroll|Giselle|1969/12/31|1615091014899|6.9029604724
Holman|Erich|1969/12/31|1619041467699|7.1544614208
Benson|Timon|1969/12/31|1633071863699|6.8399569233
Mcknight|Zeph|1969/12/31|1662020697799|7.3877956714
Wong|Caesar|1969/12/31|1683112531799|6.9238571244
Berg|Tatyana|1969/12/31|1652043094499|7.0493182118
Odom|Hasad|1969/12/31|1629123060799|6.8326052419
Cameron|Serena|1969/12/31|1644050545599|7.2348578235
Hudson|Grady|1969/12/31|1650062442999|7.3974936427
Blankenship|Kylan|1969/12/31|1605020173999|6.8885758973
Hamilton|Candice|1969/12/31|1693102535199|7.0988525356
Nash|Allistair|1969/12/31|1657072877799|6.9820661258
Osborne|Ferris|1969/12/31|1684030550299|6.9649435935
Kirby|Maggy|1969/12/31|1655050469099|7.3050781563
Moses|Armando|1969/12/31|1656030189699|6.8522820496
Beach|Hasad|1969/12/31|1685070657999|7.1439840815
Richardson|Jade|1969/12/31|1694021699699|7.3435490384
Head|Elizabeth|1969/12/31|1641052283999|7.0205709881
Merritt|Alfonso|1969/12/31|1678052039699|6.8556472594
Kemp|Aurora|1969/12/31|1665010435599|6.8860938444
Hendricks|William|1969/12/31|1650091590899|7.4634443549
Mosley|Lara|1969/12/31|1614081214599|7.1208885851
Tran|Reece|1969/12/31|1616061178799|7.1342583113
Clemons|Alisa|1969/12/31|1620112669899|6.9119371307
Frost|Charles|1969/12/31|1676102642699|7.1068379195
Valdez|Kirk|1969/12/31|1693031781699|7.1039160575
Fletcher|Murphy|1969/12/31|1612022844899|7.5159675994
Dorsey|Palmer|1969/12/31|1672042772399|6.7141472419
Riggs|Mason|1969/12/31|1614122939099|7.089550158
Mcintyre|Emerson|1969/12/31|1698110228299|6.7755722672
Petty|Todd|1969/12/31|1679072811499|7.2447225778
Ross|Paul|1969/12/31|1653050976699|6.7043613093
Weber|Emily|1969/12/31|1679100963699|6.8412769448
Wooten|Lev|1969/12/31|1670100343099|7.2888786138
Knox|Nathaniel|1969/12/31|1670041404399|7.442762942
Mcmahon|Yvonne|1969/12/31|1678051909999|7.0375374684
Brady|Sean|1969/12/31|1681122891899|6.9303101975
Clay|Ferdinand|1969/12/31|1687011961899|6.9700806402
Washington|Genevieve|1969/12/31|1655010304399|6.8763554279
Cunningham|Brielle|1969/12/31|1668041717699|7.032754005
Cummings|Vanna|1969/12/31|1662091217799|7.1389730825
Cline|Susan|1969/12/31|1670021566199|6.6826250689
Vaughn|Priscilla|1969/12/31|1674040432999|6.8981979581
Dyer|Orla|1969/12/31|1687040815799|6.8660645382
Shannon|Wynne|1969/12/31|1656100894799|7.2935193356
Berger|Ramona|1969/12/31|1687122545999|7.1258344313
Hughes|Hedy|1969/12/31|1684101382099|6.6442572612
Jimenez|Ora|1969/12/31|1679121531599|6.9328062725
Morin|Damon|1969/12/31|1653112513199|7.0702923612
James|Kelsey|1969/12/31|1698012531499|7.0512277433
Gross|Vera|1969/12/31|1657080295099|7.1781331608
Chapman|Ivan|1969/12/31|1669032962299|7.0374856604
Farmer|Azalia|1969/12/31|1626071710499|7.2423074735
Bruce|Yvonne|1969/12/31|1640051515499|6.9050083748
Rodriquez|Britanni|1969/12/31|1607042621899|6.7434372627
Oliver|Jescie|1969/12/31|1624032085699|7.2654327739
Reeves|Odette|1969/12/31|1696122604599|7.1721075313
Morris|Bianca|1969/12/31|1622060681599|6.6981047033
Hyde|Eden|1969/12/31|1683080570399|7.3928677563
Chambers|Aspen|1969/12/31|1698112484399|6.9151351991
Weaver|Wanda|1969/12/31|1622041505399|7.1941462155
Sullivan|Judith|1969/12/31|1641092268299|7.5707695937
Jensen|Destiny|1969/12/31|1607122109799|7.0298903436
